w_rsf,w_xgb_aft,w_lifelines_cox,w_lifelines_weibull_aft,c_mean,c_std
1.0,0.0,0.0,0.0,0.801276500298774,0.01907911362012036
0.9,0.1,0.0,0.0,0.800228415332902,0.01811491166601771
0.9,0.0,0.1,0.0,0.7996992129494146,0.01884441947882145
0.8,0.0,0.2,0.0,0.7988600814168438,0.018626624400021045
0.7000000000000001,0.0,0.30000000000000004,0.0,0.7988600814168438,0.018626624400021045
0.6000000000000001,0.0,0.4,0.0,0.7987103808180415,0.01841290776963931
0.5,0.0,0.5,0.0,0.7987103808180415,0.01841290776963931
0.4,0.0,0.6000000000000001,0.0,0.7984109796204366,0.017992806645534078
0.30000000000000004,0.0,0.7000000000000001,0.0,0.7978076270550507,0.017909927115903123
0.8,0.1,0.1,0.0,0.7977821113690445,0.01710992728272885
0.9,0.0,0.0,0.1,0.7971944007808831,0.023291062278366203
0.8,0.1,0.0,0.1,0.7964876322657162,0.020280166381709184
0.7000000000000001,0.1,0.2,0.0,0.7962468116925521,0.01775882740462058
0.8,0.2,0.0,0.0,0.7962444862235363,0.01724680396997433
0.2,0.0,0.8,0.0,0.7961518201278717,0.017288795427244815
0.6000000000000001,0.1,0.30000000000000004,0.0,0.7956749211905707,0.017847910633279996
0.8,0.0,0.1,0.1,0.7956207870658502,0.022828638594825593
0.7000000000000001,0.30000000000000004,0.0,0.0,0.7951005377286465,0.015664785125108233
0.5,0.1,0.4,0.0,0.7950001611300517,0.018410101333580873
0.1,0.0,0.9,0.0,0.7948022396535619,0.01617887640068314
0.7000000000000001,0.2,0.0,0.1,0.7943123269841028,0.020522133850341663
0.7000000000000001,0.2,0.1,0.0,0.7939601615396434,0.01654694184543335
0.7000000000000001,0.1,0.1,0.1,0.793609920951328,0.019567518508702208
0.7000000000000001,0.0,0.2,0.1,0.7932680235040108,0.02285966728909223
0.4,0.1,0.5,0.0,0.7932576634339741,0.017514919095296386
0.6000000000000001,0.4,0.0,0.0,0.7932007893550197,0.014179019469382577
0.8,0.0,0.0,0.2,0.7928269097824108,0.023629450222376624
