seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,384,40,2,0.005304532182582903,2,3
2,320,64,3,0.004791599019890494,2,8
3,192,24,1,0.13540878653133187,13,3
4,448,16,1,0.01757257163719079,15,3
5,512,64,2,0.005629076514069091,15,3
