seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,200,5,0.044948622499163295,0.789306880307671,0.847732920582921,4,0.003485656918980453,0.0032376680060246014
2,300,2,0.022992204146046916,0.7176611963091384,0.7101839010437445,4,0.00065855876778994,0.2999741734865517
3,225,4,0.0021355388014815697,0.7407410840883126,0.6896283596966869,4,0.09596628701111033,0.045222697049217594
4,375,10,0.012347836602218578,0.8283353635082443,0.9605780904585769,3,0.0009205853494060853,0.13753426809047764
5,100,6,0.006256491034570009,0.6933705917440197,0.5868351372973213,6,0.008056961846899456,0.5291934910544229
