seed,inner_cv_score,tune_objective,test_f1,test_accuracy,test_precision,test_recall,test_n,test_roc_auc,test_auc_0MC,test_auc_AR
1,0.9328372905973438,roc_auc,0.9148936170212766,0.864406779661017,0.8775510204081632,0.9555555555555556,59.0,0.8587301587301587,0.9600000000000001,0.8253968253968254
2,0.931043597602255,roc_auc,0.9230769230769231,0.8813559322033898,0.9130434782608695,0.9333333333333333,59.0,0.9539682539682539,1.0,0.9585798816568047
3,0.9319233657053531,roc_auc,0.8936170212765957,0.8305084745762712,0.8571428571428571,0.9333333333333333,59.0,0.8571428571428571,0.888888888888889,0.8764568764568764
4,0.948279544083798,roc_auc,0.8764044943820225,0.8135593220338984,0.8863636363636364,0.8666666666666667,59.0,0.7492063492063492,0.7857142857142857,0.7521929824561404
5,0.9143516979924424,roc_auc,0.946236559139785,0.9152542372881356,0.9166666666666666,0.9777777777777777,59.0,0.9587301587301587,0.8,0.9729166666666667
