seed,max_bins,max_interaction_bins,interactions,learning_rate,min_samples_leaf,max_leaves
1,128,24,1,0.021612966693486172,9,6
2,256,8,0,0.001466644128316737,20,8
3,384,40,2,0.0010639543292215782,6,5
4,256,16,3,0.011740203670642936,17,4
5,448,40,3,0.01589399503181247,2,2
