seed,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda
1,600,8,0.005422540195699027,0.9033623445938856,0.5046080405491882,2,0.2120765979053106,0.0013370367999464233
2,300,2,0.022992204146046916,0.7176611963091384,0.7101839010437445,4,0.00065855876778994,0.2999741734865517
3,375,7,0.014888549152864536,0.7037150200223157,0.5447394620388156,2,0.014156620308944889,0.02504384191696823
4,425,4,0.014855516445429182,0.8468786998620352,0.9984693611664922,7,0.2568327896995511,0.05754182091909839
5,50,2,0.05981894192550786,0.8184748749026036,0.5534878712662195,7,0.880301811208644,0.003709657054021781
